
Specialized Health Training
 Contact
Citizen
services
Electronic
Headquarters
Search

    What is Specialized Health Training?
    Current Call
    Allocation of places
    Your journey through Specialized Health Training
    Data, Previous Exams and Self-Report Printing
    Published Lists of Applicants

Consultation of Previous Exam Booklets
Degree
MEDICINA
Call
2025
Version
Text booklet
Answer sheet
Image booklet
 
V	R	V	R	V	R	V	R	V	R
1	1	43	2	85	4	127	3	169	2
2	2	44	2	86	1	128	2	170	2
3	4	45	2	87	2	129	3	171	1
4	4	46	2	88	2	130	3	172	2
5	2	47	4	89	2	131	2	173	4
6	3	48	3	90	3	132	2	174	3
7	2	49	3	91	1	133	3	175	2
8	4	50		92	3	134	2	176	1
9	4	51	1	93	4	135	3	177	4
10	1	52	3	94	3	136	2	178	4
11	2	53	3	95	3	137	4	179	2
12	1	54	3	96	2	138	2	180	3
13		55	1	97	2	139		181	2
14	3	56	1	98	1	140	4	182	3
15	1	57	1	99	2	141	1	183	4
16	3	58	1	100	3	142		184	4
17	3	59	2	101	3	143	1	185	2
18	4	60	2	102	1	144	4	186	4
19	2	61	3	103	3	145	3	187	4
20	2	62	2	104	3	146	3	188	3
21	2	63	2	105	3	147	2	189	3
22	3	64		106	2	148	3	190	2
23	2	65	3	107	3	149	2	191	4
24	1	66	3	108	1	150	2	192	4
25	3	67	3	109	3	151	2	193	3
26	1	68	1	110	3	152	3	194	3
27	2	69	2	111	2	153	3	195	4
28	4	70	2	112	3	154	4	196	1
29	1	71	2	113	3	155	2	197	3
30	4	72	2	114	4	156	1	198	1
31	3	73	2	115	2	157	4	199	2
32	3	74	1	116	4	158	2	200	4
33	2	75	3	117	3	159	3	201	3
34	2	76	3	118	2	160	1	202	1
35	3	77	1	119	1	161		203	1
36	4	78	4	120	1	162	1	204	3
37	4	79	1	121	3	163	3	205	2
38	1	80	4	122	2	164	3	206	3
39	3	81	3	123	2	165	1	207	1
40	1	82	4	124	2	166	1	208	
41	4	83	2	125	3	167	4	209	2
42	1	84	1	126	2	168	3	210	3

      Data Protection Technical requirements Navigation guide Legal notice Web Map Accessibility

TelegramRSSInstagramTwitterFacebookTikTokLinkedinYoutubeSubscription to listsThematic websites
Ministry of Health
Logo Funded by the European Union - Next Generation EU and Recovery, Transformation and Resilience PlanLogo Recovery, Transformation and Resilience Plan
